epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3517.64,0.63253,0.38563,0.86726,0.97543,0.97979,0.98955,0.88833,0.50749,0.31688,0.81863,0.000139685,0.000139685,0.000139685
72,3567.03,0.63802,0.38364,0.86802,0.98229,0.98217,0.98974,0.8903,0.50237,0.30511,0.81666,0.000135181,0.000135181,0.000135181
73,3616.36,0.63666,0.38205,0.86795,0.98125,0.98156,0.98926,0.88923,0.50381,0.30797,0.81708,0.000130676,0.000130676,0.000130676
74,3665.74,0.63038,0.38243,0.86374,0.98473,0.98046,0.98966,0.89055,0.50666,0.30299,0.81804,0.000126172,0.000126172,0.000126172
75,3715.07,0.62239,0.38031,0.86342,0.98339,0.97964,0.9897,0.89061,0.50781,0.30767,0.8176,0.000121667,0.000121667,0.000121667
76,3764.42,0.62475,0.3764,0.86402,0.98568,0.97904,0.98914,0.89243,0.50305,0.30778,0.81686,0.000117163,0.000117163,0.000117163
77,3813.96,0.61708,0.37474,0.86109,0.9826,0.98569,0.98988,0.88929,0.50675,0.30238,0.81952,0.000112658,0.000112658,0.000112658
78,3863.36,0.62231,0.3723,0.86264,0.98676,0.97897,0.99005,0.89424,0.49805,0.30367,0.81788,0.000108154,0.000108154,0.000108154
79,3912.84,0.61756,0.37282,0.86044,0.98104,0.97722,0.98923,0.89054,0.49943,0.30654,0.8177,0.000103649,0.000103649,0.000103649
80,3962.26,0.6174,0.37173,0.86326,0.98198,0.97899,0.98959,0.89173,0.50121,0.30462,0.81669,9.91445e-05,9.91445e-05,9.91445e-05
81,4011.7,0.61282,0.36883,0.85843,0.98306,0.98114,0.98952,0.89385,0.50239,0.30093,0.81797,9.464e-05,9.464e-05,9.464e-05
82,4061.13,0.60921,0.36549,0.86114,0.98578,0.9787,0.98979,0.89361,0.50174,0.3013,0.81738,9.01355e-05,9.01355e-05,9.01355e-05
83,4110.53,0.60816,0.36579,0.86279,0.98681,0.97791,0.98918,0.89541,0.49758,0.2995,0.81609,8.5631e-05,8.5631e-05,8.5631e-05
84,4159.99,0.60485,0.36617,0.86191,0.98324,0.9825,0.99017,0.8926,0.50292,0.29724,0.81719,8.11265e-05,8.11265e-05,8.11265e-05
85,4209.4,0.60703,0.3637,0.85745,0.9882,0.98007,0.98981,0.8916,0.50839,0.29864,0.81751,7.6622e-05,7.6622e-05,7.6622e-05
86,4258.79,0.59619,0.35753,0.85857,0.9817,0.97961,0.98953,0.89276,0.49958,0.30103,0.8159,7.21175e-05,7.21175e-05,7.21175e-05
87,4308.15,0.59492,0.35695,0.85665,0.98426,0.97941,0.98896,0.89443,0.49765,0.30013,0.81623,6.7613e-05,6.7613e-05,6.7613e-05
88,4357.59,0.60516,0.35988,0.85792,0.98528,0.98257,0.98924,0.89609,0.49844,0.29931,0.81719,6.31085e-05,6.31085e-05,6.31085e-05
89,4407.09,0.60058,0.35871,0.85602,0.98034,0.98359,0.98938,0.89324,0.50173,0.29941,0.81709,5.8604e-05,5.8604e-05,5.8604e-05
90,4456.42,0.59677,0.35782,0.85841,0.98299,0.98242,0.98967,0.8922,0.50208,0.29654,0.81694,5.40995e-05,5.40995e-05,5.40995e-05
91,4505.85,0.54603,0.29576,0.84154,0.9826,0.97931,0.98977,0.89226,0.50603,0.30029,0.81674,4.9595e-05,4.9595e-05,4.9595e-05
92,4554.74,0.53426,0.28916,0.83728,0.98505,0.97966,0.98984,0.89408,0.50277,0.29914,0.81692,4.50905e-05,4.50905e-05,4.50905e-05
93,4603.62,0.53759,0.28988,0.83833,0.98393,0.98079,0.98959,0.89392,0.49988,0.30073,0.81638,4.0586e-05,4.0586e-05,4.0586e-05
94,4652.59,0.5326,0.28714,0.83767,0.98172,0.98121,0.98915,0.8935,0.49938,0.29942,0.81724,3.60815e-05,3.60815e-05,3.60815e-05
95,4701.55,0.52853,0.28363,0.83433,0.98188,0.98236,0.98938,0.89468,0.49736,0.29851,0.81618,3.1577e-05,3.1577e-05,3.1577e-05
96,4750.53,0.52563,0.28282,0.83565,0.98448,0.98136,0.98959,0.89515,0.49802,0.29826,0.81622,2.70725e-05,2.70725e-05,2.70725e-05
97,4799.49,0.52541,0.28266,0.83375,0.98232,0.98106,0.98967,0.89696,0.4984,0.29645,0.81692,2.2568e-05,2.2568e-05,2.2568e-05
98,4848.43,0.51955,0.2802,0.83285,0.98344,0.98091,0.98946,0.8953,0.49648,0.29601,0.81679,1.80635e-05,1.80635e-05,1.80635e-05
99,4897.31,0.5247,0.28132,0.83499,0.9846,0.98078,0.98952,0.89571,0.4987,0.29557,0.81675,1.3559e-05,1.3559e-05,1.3559e-05
100,4946.15,0.51968,0.28097,0.83155,0.98463,0.98141,0.98946,0.89653,0.49776,0.29561,0.81633,9.0545e-06,9.0545e-06,9.0545e-06
